"","climate_shock","scenario","percent_decline_cat","optimized","climate_shock_labels","summer"
"115","july",4,"0% to 10%","No fishing","July","Summer"
"116","july",10,"-30% to -10%","Optimized fishing, status quo policy","July","Summer"
"117","july",5,"0% to 10%","No fishing","July","Summer"
"118","july",6,"0% to 10%","No fishing","July","Summer"
"119","july",7,"-10% to 0%","No fishing","July","Summer"
"120","july",10,"-10% to 0%","No fishing","July","Summer"
"121","jun_dec",7,"-10% to 0%","No fishing","Jun-Dec","Summer"
"122","jun_dec",8,"-30% to -10%","No fishing","Jun-Dec","Summer"
"123","jun_dec",9,"-50% to -30%","No fishing","Jun-Dec","Summer"
"124","jun_dec",10,"-90% to -70%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"125","jun_dec",4,"0% to 10%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"126","jun_dec",3,"0% to 10%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"127","jun_dec",6,"-10% to 0%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"128","jun_dec",5,"-10% to 0%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"129","jun_dec",10,"-50% to -30%","No fishing","Jun-Dec","Summer"
"130","jun_dec",7,"-10% to 0%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"131","jun_dec",8,"-30% to -10%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"132","jun_dec",3,"-10% to 0%","No fishing","Jun-Dec","Summer"
"133","jun_dec",2,"-10% to 0%","No fishing","Jun-Dec","Summer"
"134","jun_dec",5,"-10% to 0%","No fishing","Jun-Dec","Summer"
"135","jun_dec",6,"-10% to 0%","No fishing","Jun-Dec","Summer"
"136","jun_dec",1,"-10% to 0%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"137","jun_dec",4,"-10% to 0%","No fishing","Jun-Dec","Summer"
"138","jun_dec",2,"-10% to 0%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"139","jun_dec",9,"-90% to -70%","Optimized fishing, status quo policy","Jun-Dec","Summer"
"140","jun_dec",1,"-10% to 0%","No fishing","Jun-Dec","Summer"
"141","jun_jul",4,"0% to 10%","No fishing","Jun-Jul","Summer"
"142","jun_jul",7,"-10% to 0%","No fishing","Jun-Jul","Summer"
"143","jun_jul",5,"-10% to 0%","No fishing","Jun-Jul","Summer"
"144","jun_jul",6,"0% to 10%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"145","jun_jul",6,"0% to 10%","No fishing","Jun-Jul","Summer"
"146","jun_jul",3,"0% to 10%","No fishing","Jun-Jul","Summer"
"147","jun_jul",8,"-10% to 0%","No fishing","Jun-Jul","Summer"
"148","jun_jul",9,"-10% to 0%","No fishing","Jun-Jul","Summer"
"149","jun_jul",7,"-10% to 0%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"150","jun_jul",1,"0% to 10%","No fishing","Jun-Jul","Summer"
"151","jun_jul",10,"-30% to -10%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"152","jun_jul",2,"-10% to 0%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"153","jun_jul",3,"0% to 10%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"154","jun_jul",9,"-30% to -10%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"155","jun_jul",2,"0% to 10%","No fishing","Jun-Jul","Summer"
"156","jun_jul",10,"-30% to -10%","No fishing","Jun-Jul","Summer"
"157","jun_jul",8,"-10% to 0%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"158","jun_jul",1,"0% to 10%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"159","jun_jul",4,"-10% to 0%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"160","jun_jul",5,"0% to 10%","Optimized fishing, status quo policy","Jun-Jul","Summer"
"161","jun_nov",6,"-10% to 0%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"162","jun_nov",1,"0% to 10%","No fishing","Jun-Nov","Summer"
"163","jun_nov",4,"0% to 10%","No fishing","Jun-Nov","Summer"
"164","jun_nov",9,"-70% to -50%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"165","jun_nov",2,"0% to 10%","No fishing","Jun-Nov","Summer"
"166","jun_nov",3,"-10% to 0%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"167","jun_nov",10,"-90% to -70%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"168","jun_nov",7,"-10% to 0%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"169","jun_nov",2,"0% to 10%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"170","jun_nov",1,"0% to 10%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"171","jun_nov",10,"-50% to -30%","No fishing","Jun-Nov","Summer"
"172","jun_nov",8,"-30% to -10%","No fishing","Jun-Nov","Summer"
"173","jun_nov",9,"-30% to -10%","No fishing","Jun-Nov","Summer"
"174","jun_nov",8,"-30% to -10%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"175","jun_nov",3,"0% to 10%","No fishing","Jun-Nov","Summer"
"176","jun_nov",7,"-10% to 0%","No fishing","Jun-Nov","Summer"
"177","jun_nov",4,"-10% to 0%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"178","jun_nov",5,"-10% to 0%","Optimized fishing, status quo policy","Jun-Nov","Summer"
"179","jun_nov",5,"0% to 10%","No fishing","Jun-Nov","Summer"
"180","jun_nov",6,"0% to 10%","No fishing","Jun-Nov","Summer"
"181","jun_oct",8,"-30% to -10%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"182","jun_oct",3,"-10% to 0%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"183","jun_oct",8,"-30% to -10%","No fishing","Jun-Oct","Summer"
"184","jun_oct",2,"-10% to 0%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"185","jun_oct",9,"-90% to -70%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"186","jun_oct",1,"-10% to 0%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"187","jun_oct",6,"0% to 10%","No fishing","Jun-Oct","Summer"
"188","jun_oct",7,"-10% to 0%","No fishing","Jun-Oct","Summer"
"189","jun_oct",5,"0% to 10%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"190","jun_oct",2,"0% to 10%","No fishing","Jun-Oct","Summer"
"191","jun_oct",9,"-30% to -10%","No fishing","Jun-Oct","Summer"
"192","jun_oct",10,"-50% to -30%","No fishing","Jun-Oct","Summer"
"193","jun_oct",1,"-10% to 0%","No fishing","Jun-Oct","Summer"
"194","jun_oct",7,"-10% to 0%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"195","jun_oct",4,"-10% to 0%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"196","jun_oct",10,"-90% to -70%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"197","jun_oct",6,"0% to 10%","Optimized fishing, status quo policy","Jun-Oct","Summer"
"198","jun_oct",4,"0% to 10%","No fishing","Jun-Oct","Summer"
"199","jun_oct",5,"0% to 10%","No fishing","Jun-Oct","Summer"
"200","jun_oct",3,"0% to 10%","No fishing","Jun-Oct","Summer"
"201","jun_sep",10,"-50% to -30%","No fishing","Jun-Sep","Summer"
"202","jun_sep",4,"0% to 10%","No fishing","Jun-Sep","Summer"
"203","jun_sep",9,"-30% to -10%","No fishing","Jun-Sep","Summer"
"204","jun_sep",1,"0% to 10%","No fishing","Jun-Sep","Summer"
"205","jun_sep",1,"0% to 10%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"206","jun_sep",5,"0% to 10%","No fishing","Jun-Sep","Summer"
"207","jun_sep",6,"0% to 10%","No fishing","Jun-Sep","Summer"
"208","jun_sep",2,"0% to 10%","No fishing","Jun-Sep","Summer"
"209","jun_sep",3,"0% to 10%","No fishing","Jun-Sep","Summer"
"210","jun_sep",9,"-90% to -70%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"211","jun_sep",10,"-90% to -70%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"212","jun_sep",7,"-10% to 0%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"213","jun_sep",6,"0% to 10%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"214","jun_sep",8,"-30% to -10%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"215","jun_sep",3,"0% to 10%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"216","jun_sep",4,"-10% to 0%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"217","jun_sep",2,"0% to 10%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"218","jun_sep",5,"0% to 10%","Optimized fishing, status quo policy","Jun-Sep","Summer"
"219","jun_sep",8,"-30% to -10%","No fishing","Jun-Sep","Summer"
"220","jun_sep",7,"-10% to 0%","No fishing","Jun-Sep","Summer"
"221","june",7,"0% to 10%","No fishing","June","Summer"
"222","june",8,"0% to 10%","No fishing","June","Summer"
"223","june",10,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"224","june",1,"0% to 10%","No fishing","June","Summer"
"225","june",2,"0% to 10%","No fishing","June","Summer"
"226","june",3,"0% to 10%","No fishing","June","Summer"
"227","june",6,"0% to 10%","No fishing","June","Summer"
"228","june",5,"0% to 10%","No fishing","June","Summer"
"229","june",9,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"230","june",6,"0% to 10%","Optimized fishing, status quo policy","June","Summer"
"231","june",4,"0% to 10%","No fishing","June","Summer"
"232","june",9,"-10% to 0%","No fishing","June","Summer"
"233","june",3,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"234","june",2,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"235","june",5,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"236","june",1,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"237","june",10,"-10% to 0%","No fishing","June","Summer"
"238","june",4,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"239","june",8,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"240","june",7,"-10% to 0%","Optimized fishing, status quo policy","June","Summer"
"241","mar_aug",6,"-10% to 0%","No fishing","Mar-Aug","Summer"
"242","mar_aug",1,"0% to 10%","No fishing","Mar-Aug","Summer"
"243","mar_aug",5,"-10% to 0%","No fishing","Mar-Aug","Summer"
"244","mar_aug",9,"-70% to -50%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"245","mar_aug",1,"-10% to 0%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"246","mar_aug",4,"-10% to 0%","No fishing","Mar-Aug","Summer"
"247","mar_aug",10,"-70% to -50%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"248","mar_aug",4,"0% to 10%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"249","mar_aug",7,"-10% to 0%","No fishing","Mar-Aug","Summer"
"250","mar_aug",8,"-30% to -10%","No fishing","Mar-Aug","Summer"
"251","mar_aug",9,"-30% to -10%","No fishing","Mar-Aug","Summer"
"252","mar_aug",10,"-50% to -30%","No fishing","Mar-Aug","Summer"
"253","mar_aug",2,"0% to 10%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"254","mar_aug",3,"-10% to 0%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"255","mar_aug",8,"-30% to -10%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"256","mar_aug",5,"-10% to 0%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"257","mar_aug",3,"-10% to 0%","No fishing","Mar-Aug","Summer"
"258","mar_aug",7,"-10% to 0%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"259","mar_aug",6,"-10% to 0%","Optimized fishing, status quo policy","Mar-Aug","Summer"
"260","mar_aug",2,"0% to 10%","No fishing","Mar-Aug","Summer"
"261","may_aug",7,"-10% to 0%","Optimized fishing, status quo policy","May-Aug","Summer"
"262","may_aug",4,"0% to 10%","Optimized fishing, status quo policy","May-Aug","Summer"
"263","may_aug",4,"0% to 10%","No fishing","May-Aug","Summer"
"264","may_aug",8,"-30% to -10%","Optimized fishing, status quo policy","May-Aug","Summer"
"265","may_aug",6,"-10% to 0%","Optimized fishing, status quo policy","May-Aug","Summer"
"266","may_aug",2,"0% to 10%","No fishing","May-Aug","Summer"
"267","may_aug",10,"-50% to -30%","Optimized fishing, status quo policy","May-Aug","Summer"
"268","may_aug",1,"-10% to 0%","Optimized fishing, status quo policy","May-Aug","Summer"
"269","may_aug",10,"-30% to -10%","No fishing","May-Aug","Summer"
"270","may_aug",1,"0% to 10%","No fishing","May-Aug","Summer"
"271","may_aug",3,"0% to 10%","No fishing","May-Aug","Summer"
