"","policy_length","temp_band","threshold","pr_recovery","se"
"64",6,"Delta*T==8*'-'*10*degree*C","18",0.148514851485149,0.0353844781058964
"65",12,"Delta*T==1*'-'*7*degree*C","18",0.781333333333333,0.0213448857609533
"66",12,"Delta*T==8*'-'*10*degree*C","18",0.216494845360825,0.0418175747709241
"67",18,"Delta*T==1*'-'*7*degree*C","18",0.796791443850267,0.0208069069451403
"68",18,"Delta*T==8*'-'*10*degree*C","18",0.185185185185185,0.0373783994333024
"69",24,"Delta*T==1*'-'*7*degree*C","18",0.796246648793566,0.0208555560311599
"70",24,"Delta*T==8*'-'*10*degree*C","18",0.174311926605505,0.0363377730592344
"71",30,"Delta*T==1*'-'*7*degree*C","18",0.783068783068783,0.0211989857032465
"72",30,"Delta*T==8*'-'*10*degree*C","18",0.146788990825688,0.0338970355389799
"73",36,"Delta*T==1*'-'*7*degree*C","18",0.780748663101604,0.0213939486275623
"74",36,"Delta*T==8*'-'*10*degree*C","18",0.176470588235294,0.034946383869765
"75",42,"Delta*T==1*'-'*7*degree*C","18",0.788732394366197,0.0216654202602278
"76",42,"Delta*T==8*'-'*10*degree*C","18",0.0952380952380952,0.0286469146437256
"77",48,"Delta*T==1*'-'*7*degree*C","18",0.818681318681319,0.0201942637598136
"78",48,"Delta*T==8*'-'*10*degree*C","18",0.211009174311927,0.0390816955051951
"79",54,"Delta*T==1*'-'*7*degree*C","18",0.786301369863014,0.0214560095113114
"80",54,"Delta*T==8*'-'*10*degree*C","18",0.160714285714286,0.0347034894398286
"81",60,"Delta*T==1*'-'*7*degree*C","18",0.789473684210526,0.0214569714471325
"82",60,"Delta*T==8*'-'*10*degree*C","18",0.194915254237288,0.0364672244187058
"83",66,"Delta*T==1*'-'*7*degree*C","18",0.815217391304348,0.0202322114715781
"84",66,"Delta*T==8*'-'*10*degree*C","18",0.192982456140351,0.0369613629184975
"85",72,"Delta*T==1*'-'*7*degree*C","18",0.763440860215054,0.0220336322330078
"86",72,"Delta*T==8*'-'*10*degree*C","18",0.184873949579832,0.0355858026107365
"87",78,"Delta*T==1*'-'*7*degree*C","18",0.772602739726027,0.0219393776396703
"88",78,"Delta*T==8*'-'*10*degree*C","18",0.166666666666667,0.0340206908719886
"89",84,"Delta*T==1*'-'*7*degree*C","18",0.786885245901639,0.0214053294831926
"90",84,"Delta*T==8*'-'*10*degree*C","18",0.182539682539683,0.0344133310776086
"91",0,"Delta*T==1*'-'*7*degree*C","24",0.47008547008547,0.0461422105824573
"92",0,"Delta*T==8*'-'*10*degree*C","24",0.0555555555555556,0.0539902953226417
"93",6,"Delta*T==1*'-'*7*degree*C","24",0.742021276595745,0.0225634861825476
"94",6,"Delta*T==8*'-'*10*degree*C","24",0.178217821782178,0.0380796754319663
"95",12,"Delta*T==1*'-'*7*degree*C","24",0.816,0.0200095976971053
